[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0069 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+006B locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+006C locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+006D locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+006E locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+006F locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0072 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0073 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0074 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0075 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0077 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0078 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3041ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0079 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3042ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0046 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3044ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0059 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3044ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0067 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3045ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0068 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3045ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0070 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3050ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0076 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3051ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+007A locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140474ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://demotiles.maplibre.org/fonts/Open%20Sans/0-255.pbf:0
[  140477ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+002D locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140477ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0030 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140477ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0032 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140477ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0034 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140478ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0035 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140478ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0036 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140478ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0037 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140478ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0038 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140479ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0039 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
